ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-041-1,C&A Artichoke Bruschetta 6/7.9oz,12.15,600,7290.0,0.0,0.0,0.0,0.0,12.15,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-041-2,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz,12.15,72,874.8000000000001,0.0,0.0,0.0,0.0,12.15,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-051-1,C&A Marin. Qrtd Artichokes 6/14.5oz,15.768,220,3468.96,0.0,0.0,0.0,0.0,15.768,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-051-2,C&A Grilled Marin. Whole Artichokes 6/14.5oz,15.768,352,5550.336,0.0,0.0,0.0,0.0,15.768,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-051-3,C&A Whole Artichokes In Brine 6/14.5oz,15.768,66,1040.688,0.0,0.0,0.0,0.0,15.768,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-200-1,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,11.34,20,226.8,0.0,0.0,0.0,0.0,11.34,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-200-2,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,11.34,18,204.12,0.0,0.0,0.0,0.0,11.34,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-200-3,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,11.34,20,226.8,0.0,0.0,0.0,0.0,11.34,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-200-4,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,11.34,20,226.8,0.0,0.0,0.0,0.0,11.34,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-100-6,C&A Arborio Rice 8/17.6oz,15.12,78,1179.36,0.0,0.0,0.0,0.0,15.12,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,12-006-2,K&L Milk Choc Almond Stuffed Dates 8/3.5oz,20.0,34,680.0,0.0,0.0,0.0,0.0,20.0,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,12-300-3,K&L Sweet Nests - Cashew & Date 8/3.5oz,22.0,1,22.0,0.0,0.0,0.0,0.0,22.0,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-041-9,C&A Artichoke Spinach Bruschetta 6/7.9oz,12.15,24,291.6,0.0,0.0,0.0,0.0,12.15,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-041-10,C&A Artichoke Jalapeno Bruschetta 6/7.9oz,12.15,20,243.0,0.0,0.0,0.0,0.0,12.15,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,8-501,K&L Org Pulled Jackfruit- Sweet BBQ 6/8oz,14.4,5,72.0,0.0,0.0,0.0,0.0,14.4,
,065022898,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI RIDGEFIELD WA,,,,,065022898,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO065022898.html,,,,0.0,17-003-3,C&A Arrabbiata Pasta Sauce 6/16.8oz,13.5,112,1512.0,0.0,0.0,0.0,0.0,13.5,
,074263286,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI LANCASTER TX,,,,,074263286,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO074263286.html,,,,0.0,17-041-1,C&A Artichoke Bruschetta 6/7.9oz,13.5,48,648.0,0.0,0.0,0.0,0.0,13.5,
,074263286,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI LANCASTER TX,,,,,074263286,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO074263286.html,,,,0.0,17-003-4,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,13.5,22,297.0,0.0,0.0,0.0,0.0,13.5,
