ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,12-600-3,K&L Shipper - Assorted (3 Variety) Choc covered Almond stuffed Dates 54/3.5oz,121.5,39,4738.5,0.0,0.0,0.0,0.0,121.5,
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,12-042,K&L Passport Flatbread- Everything 6/13.3oz,16.14,40,645.6,0.0,0.0,0.0,0.0,16.14,
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,17-001-4,C&A Sun-Dried Tomato Pesto 6/7.9oz,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,8-600-1,K&L Cauliflower RTE Meal- Peruvian Veg Ceviche 6/7.9oz,11.94,13,155.22,0.0,0.0,0.0,0.0,11.94,
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,8-902,K&L RTH Golden Vegetable Rice 6/8oz,10.26,36,369.36,0.0,0.0,0.0,0.0,10.26,
,014517056,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517056,,,2025-09-26,2025-10-07,2025-10-07,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517056.html,,,,0.0,17-001-5,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz,13.5,24,324.0,0.0,0.0,0.0,0.0,13.5,
,014517208,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517208,,,2025-09-29,2025-10-11,2025-10-11,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517208.html,,,,0.0,17-003-4,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,13.5,44,594.0,0.0,0.0,0.0,0.0,13.5,
,014517208,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517208,,,2025-09-29,2025-10-11,2025-10-11,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517208.html,,,,0.0,7-210-66,C&A Organic Fusilli #66 12/16oz,21.48,36,773.28,0.0,0.0,0.0,0.0,21.48,
,014517208,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI ROCKLIN CA,,,,,014517208,,,2025-09-29,2025-10-11,2025-10-11,,,,,,1.0,Imported from UNFI West - File: UNFI West PO014517208.html,,,,0.0,7-210-82,C&A Organic Spaghetti #82 20/16oz,35.8,27,966.5999999999999,0.0,0.0,0.0,0.0,35.8,
,044820201,UNFI West,,UNFI West,KL - Richmond,KL - Richmond,USD,UNFI MORENO VALLEY #2,,,,,044820201,,,2025-09-05,2025-09-16,2025-09-16,,,,,,1.0,Imported from UNFI West - File: UNFI West PO044820201.html,,,,0.0,17-041-7,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,12.15,408,4957.2,0.0,0.0,0.0,0.0,12.15,
