ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,17-041-1,BRUSCHETTA ARTICHOKE,13.5,24,324.0,0.0,0.0,0.0,0.0,13.5,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,02313478,DATES MLK CHOC ALMD STFD,20.0,6,120.0,0.0,0.0,0.0,0.0,20.0,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,00308376,FARRO MEAL GRLD VEG  HERB,12.6,80,1008.0,0.0,0.0,0.0,0.0,12.6,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,00308378,FARRO ML ARTKE LMN RST GC,12.6,80,1008.0,0.0,0.0,0.0,0.0,12.6,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,02207887,MEAL JACKFRT SWT BBQ PRK,14.4,49,705.6,0.0,0.0,0.0,0.0,14.4,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,02302575,MEAL PASTA PRIMAVERA HOP,14.4,90,1296.0,0.0,0.0,0.0,0.0,14.4,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,00129178,QUINOA MEAL ARTCHK & RDST,12.6,100,1260.0,0.0,0.0,0.0,0.0,12.6,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,00129170,QUINOA MEAL MANG RST PEPR,12.6,100,1260.0,0.0,0.0,0.0,0.0,12.6,
,3218278,KEHE - SPS,,KEHE - SPS,KL - Richmond,KL - Richmond,USD,KEHE DALLAS DC19,,,,,3218278,,,2025-08-13,2025-08-20,2025-08-20,,,,,,1.0,Imported from KEHE - SPS - File: kehe po3218278_768828.csv,,,,0.0,02302579,RICE VEGGIE HOP STIR FRY,14.4,90,1296.0,0.0,0.0,0.0,0.0,14.4,
