ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,4417119,UNFI East,,UNFI East,IDI - Richmond,IDI - Richmond,USD,UNFI EAST MANCHESTER,,,,,4417119,,,2025-07-25,2025-07-25,2025-07-25,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20250725103825_290CB80C.pdf,,,,0.0,8-900-2,"KTCHLV DSP,GRAIN POUCH,RTH,",102.6,6,615.60315882,0.0,0.0,0.0,0.0,,
,4417119,UNFI East,,UNFI East,IDI - Richmond,IDI - Richmond,USD,UNFI EAST MANCHESTER,,,,,4417119,,,2025-07-25,2025-07-25,2025-07-25,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20250725103825_290CB80C.pdf,,,,0.0,17-200-1,"KTCHLV DSP,PASTA & RICE,HRT",108.0,1,108.0,0.0,0.0,0.0,0.0,,
,3941848,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,UNFI EAST SARASOTA FL,,,,,3941848,,,2024-08-23,2024-08-23,2024-08-23,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20240906095643_163F8A46.pdf,,,,0.0,8-907,"KTCHLV RICE,CAULIFLOWER,RTH",10.2,40,408.00284676,0.0,0.0,0.0,0.0,,
,3941848,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,UNFI EAST SARASOTA FL,,,,,3941848,,,2024-08-23,2024-08-23,2024-08-23,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20240906095643_163F8A46.pdf,,,,0.0,17-300,"KTCHLV ARTICHOKE HEART,MARI",13.2,3,39.60301111,0.0,0.0,0.0,0.0,,
