ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,17-041-7,BRUSCHETTA SNDRIED TOMATO,13.5,24,324.0,0.0,0.0,0.0,0.0,13.5,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,8-400-1,FARRO MEAL GRLD VEG  HERB,12.6,60,756.0,0.0,0.0,0.0,0.0,12.6,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,8-400-2,FARRO ML ARTKE LMN RST GC,12.6,60,756.0,0.0,0.0,0.0,0.0,12.6,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,8-501,MEAL JACKFRT SWT BBQ PRK,14.4,49,705.6,0.0,0.0,0.0,0.0,14.4,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,17-202,MEAL PASTA PRIMAVERA HOP,14.4,60,864.0,0.0,0.0,0.0,0.0,14.4,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,8-907,RICE CAULIFLOWER RTH,12.0,80,960.0,0.0,0.0,0.0,0.0,12.0,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,17-203,RICE VEGGIE HOP STIR FRY,14.4,60,864.0,0.0,0.0,0.0,0.0,14.4,
,3123465,KEHE - SPS,,KEHE - SPS,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,3123465,,,2025-06-18,2025-06-25,2025-06-25,,,,,,1.0,Imported from KEHE - SPS - File: KEHE order file 20250702112642_27022BC7.csv,,,,0.0,17-204,RICED BROCCOLI RTH,12.0,213,2556.0,0.0,0.0,0.0,0.0,12.0,
