UPC,UNFI East ,Description,Xoro Item#,Xoro Description
0072811951540,268473,"PESTO,BASIL,VEGN&NUT FREE",17-001-5,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz
0072811951541,321637,"SWT NESTS,ALMOND & CHOC  ",12-300-2,K&L Sweet Nests - Almond & Dark Chocolate 8/3.5oz
0072811951542,321636,SWT NESTS CASHEW DATES   ,12-300-3,K&L Sweet Nests - Cashew & Date 8/3.5oz
0072811951543,321635,"SWT NESTS,PISTACH,DATES  ",12-300-1,K&L Sweet Nests - Pistachio & Date 8/3.5oz
0072811951592,301110,"VEGI RCE STR FRY,HRTS PLM",17-203,K&L Hearts Of Palm Veggie Stir-Fry 6/8oz
0072811951593,301113,"RICED BROC,READY TO HEAT ",17-204,K&L RTE Riced Broccoli 6/8oz
0072811951595,301108,"PSTA,LINGUINE,HRTS OF PLM",17-201,K&L Hearts Of Palm Linguine Pasta 6/8oz
0072811951630,292219,"JACKFRT,OG1,PULLD,LT SESN",8-500,K&L Org Pulled Jackfruit- Lightly Seasoned 6/8oz
0072811951631,292220,"JACKFRT,OG1,PULLD,SWT BBQ",8-501,K&L Org Pulled Jackfruit- Sweet BBQ 6/8oz
0072811951632,292221,"JACKFRT,OG1,CHILI,CHUNKY ",8-502,K&L Org Jackfruit Chunky Chili 6/8oz
0072811951633,292222,"JACKFRT,OG1,STEW,HEARTY  ",8-503,K&L Org Jackfruit Hearty Stew 6/8oz
1072811943410,308305,"DSP,WAFER ROLL,ASST      ",12-002,C&A Wafer Roll Shipper 36/14.1oz
1072811951701,315882,"DSP,CHC,DATES,ALM STF,3FL",12-600-3,K&L Shipper - Assorted (3 Variety) Choc covered Almond stuffed Dates 54/3.5oz
1072811951702,315881,"DSP,CHOCO,DATES,ALM STFD ",12-600-1,K&L Shipper - 85% Dark Choc Almond Stuffed Dates 54/3.5oz
1072811951703,315929,"DSP,OG2,RICE CAULIFLOWER ",8-920-1,K&L Shipper - Organic Riced Cauliflower 54/8oz
1072811951704,315930,"DSP,RICED BROCCOLI       ",8-920-2,K&L Shipper - Riced Cauliflower & Broccoli 54/8oz
1072811951705,315845,"DSP,OG1,JACKFRT,3 FLAVORS",8-500-1,K&L Shipper- RTH Org Jackfruit Assorted 54/8oz
1072811951706,316311,"DSP,PASTA & RICE,HRTS PLM",17-200-1,K&L Shipper - RTH Hearts of Palm Pasta & Rice 45/8oz
1072811951707,315850,"DSP,GRAIN POUCH,RTH,3 VAR",8-900-1,K&L Shipper - RTH Grain Pouches (3 Variety) 54/8oz
1072811951708,315851,"DSP,GRAIN POUCH,RTH,6 VAR",8-900-2,K&L Shipper - RTH Grain Pouches (6 Variety) 54/8oz
