UPC,UNFI West,Description,Xoro ItemNumber,Xoro Description,Raw Item Number,Mapped Item Number
0072811951542,14120,K LOVE SW NEST CSHW DATE,12-300-3,K&L Sweet Nests - Cashew & Date 8/3.5oz,,
0072811951543,14032,K LOVE SW NEST PIST DATE,12-300-1,K&L Sweet Nests - Pistachio & Date 8/3.5oz,,
0072811951551,08069 ,CAM SPNCH ARTCH BRSC,17-041-9,C&A Artichoke Spinach Bruschetta 6/7.9oz,,
0072811951552,08067 ,CAM ARTCHK JAL BRSCH,17-041-10,C&A Artichoke Jalapeno Bruschetta 6/7.9oz,,
0072811951591,62378,K LOVE PSTA PRMV HRT/PLM,17-202,K&L Hearts Of Palm Pasta Primavera 6/8oz,,
0072811951592,62384,K LOVE VEGI RCE HRTS/PLM,17-203,K&L Hearts Of Palm Veggie Stir-Fry 6/8oz,,
0072811951595,62373,K LOVE PSTA LNGN HRT/PLM,17-201,K&L Hearts Of Palm Linguine Pasta 6/8oz,,
0072811951630,58974,OG1 K LOVE JCKFRT LTSESN,8-500,K&L Org Pulled Jackfruit- Lightly Seasoned 6/8oz,,
0072811951631,58975,OG1 K LOVE JCKFRT SWT BQ,8-501,K&L Org Pulled Jackfruit- Sweet BBQ 6/8oz,,
0072811951632,58976,OG1 K LOVE JCKFRT CHILI,8-502,K&L Org Jackfruit Chunky Chili 6/8oz,,
0072811951633,58977,OG1 K LOVE JCKFRT STEW,8-503,K&L Org Jackfruit Hearty Stew 6/8oz,,
1072811943410,17986,CAM ASST WAFER ROLL DSP ,12-002,C&A Wafer Roll Shipper 36/14.1oz,,
1072811951701,58924,K LOVE CHC DATES ALM 3FL,12-600-3,K&L Shipper - Assorted (3 Variety) Choc covered Almond stuffed Dates 54/3.5oz,,
1072811951702,58923,K LOVE CHOC DATES ALM DS,12-600-1,K&L Shipper - 85% Dark Choc Almond Stuffed Dates 54/3.5oz,,
1072811951703,58877,OG2 K LOVE RICE CAUL DSP,8-920-1,K&L Shipper - Organic Riced Cauliflower 54/8oz,,
1072811951704,58878,K LOVE DSP RICED BROCCLI,8-920-2,K&L Shipper - Riced Cauliflower & Broccoli 54/8oz,,
1072811951705,58927,OG1 K LOVE JACKFRUIT DS ,8-500-1,K&L Shipper- RTH Org Jackfruit Assorted 54/8oz,,
1072811951706,04597 ,K LOVE PST&RCE HR/PLM DS,17-200-1,K&L Shipper - RTH Hearts of Palm Pasta & Rice 45/8oz,,
1072811951707,83017,K LOVE GRN PCH RTH 3 DSP,8-900-1,K&L Shipper - RTH Grain Pouches (3 Variety) 54/8oz,,
1072811951708,83031,K LOVE GRN PCH RTH 6 DSP,8-900-2,K&L Shipper - RTH Grain Pouches (6 Variety) 54/8oz,,
,,,,,26912,12-002-3
,,,,,26912,12-002-3
