ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,4531373,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,MM,,,,,4531373,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531373.pdf,,,,0.0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,4531367,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,HH,,,,,4531367,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531367.pdf,,,,0.0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,4531365,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,JJ,,,,,4531365,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531365.pdf,,,,0.0,17-001-2,"KTCHLV FARRO,ARTICHOKE,LMN,",12.6,48,252.0,0.0,0.0,0.0,0.0,12.6,
,4531365,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,JJ,,,,,4531365,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531365.pdf,,,,0.0,8-400-3,"KTCHLV FARRO,ARTICHOKE,LMN,",12.6,20,252.0,0.0,0.0,0.0,0.0,12.6,
,4531545,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,UU,,,,,4531545,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531545.pdf,,,,0.0,8-200-1,"KTCHLV QUINOA MEAL,ARTCHK&P",12.6,20,252.0,0.0,0.0,0.0,0.0,12.6,
,4531546,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,SS,,,,,4531546,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531546.pdf,,,,0.0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,4531544,UNFI East,,UNFI East,PSS - NJ,PSS - NJ,USD,GG,,,,,4531544,,,,2025-10-31,2025-10-31,,,,,,1.0,Imported from UNFI East - File: UNFI East PO4531544.pdf,,,,0.0,,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
