ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,2025-07-27,2025-08-03,2025-08-03,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,2025-07-27,2025-08-03,2025-08-03,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,1,JAM APRICOT,14.94,1,68049610123.0,0.0,0.0,0.0,0.0,14.94,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,2,MARMALADE ORANGE,14.94,1,68049610130.0,0.0,0.0,0.0,0.0,14.94,
,154533670,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,IDI - Richmond,,,,,154533670,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,2,Totals:,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
