ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,"If this order does not meet the minimum for free shipping, please contact the store buyer.",Whole Foods,,Whole Foods,WHOLE FOODS #10447 FOLSOM,WHOLE FOODS #10447 FOLSOM,USD,WHOLE FOODS #10447 FOLSOM,,,,,"If this order does not meet the minimum for free shipping, please contact the store buyer.",,,2025-07-27,2025-08-03,2025-08-03,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,154533670,Whole Foods,,Whole Foods,WHOLE FOODS #10447 FOLSOM,WHOLE FOODS #10447 FOLSOM,USD,WHOLE FOODS #10447 FOLSOM,,,,,154533670,,,2025-07-27,2025-08-03,2025-08-03,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,UNKNOWN,Order item details not found,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
,order_154533670.html,Whole Foods,,Whole Foods,order_154533670.html,order_154533670.html,USD,order_154533670.html,,,,,order_154533670.html,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,1,130357,68049610123.0,14,952694541722.0,0.0,0.0,0.0,0.0,68049610123.0,
,order_154533670.html,Whole Foods,,Whole Foods,order_154533670.html,order_154533670.html,USD,order_154533670.html,,,,,order_154533670.html,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,2,130356,68049610130.0,14,952694541820.0,0.0,0.0,0.0,0.0,68049610130.0,
,order_154533670.html,Whole Foods,,Whole Foods,order_154533670.html,order_154533670.html,USD,order_154533670.html,,,,,order_154533670.html,,,,2025-08-04,2025-08-04,,,,,,1.0,Imported from Whole Foods - File: order_154533670.html,,,,0.0,Totals:,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
