ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,4417119,UNFI East,,UNFI East,IDI - Richmond,IDI - Richmond,USD,UNFI EAST MANCHESTER,,,,,4417119,,,2025-07-25,2025-07-25,2025-07-25,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20250725103825_290CB80C.pdf,,,,0.0,8-900-2,"KTCHLV DSP,GRAIN POUCH,RTH,",102.6,6,615.6,0.0,0.0,0.0,0.0,,
,4417119,UNFI East,,UNFI East,IDI - Richmond,IDI - Richmond,USD,UNFI EAST MANCHESTER,,,,,4417119,,,2025-07-25,2025-07-25,2025-07-25,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20250725103825_290CB80C.pdf,,,,0.0,12-600-3,"KTCHLV DSP,CHC,DATES,ALM ST",135.0,6,810.0,0.0,0.0,0.0,0.0,,
,4417119,UNFI East,,UNFI East,IDI - Richmond,IDI - Richmond,USD,UNFI EAST MANCHESTER,,,,,4417119,,,2025-07-25,2025-07-25,2025-07-25,,,,,,1.0,Imported from UNFI East - File: UNFI EAST _xo10242_20250725103825_290CB80C.pdf,,,,0.0,17-200-1,"KTCHLV DSP,PASTA & RICE,HRT",108.0,1,108.0,0.0,0.0,0.0,0.0,,
