Source,RawCustomerID,MappedCustomerName,CustomerType,Priority,Active,Notes
kehe,kehe,569813430045,distributor,100,True,Migrated from CSV
kehe,kehe,569813430041,distributor,100,True,Migrated from CSV
kehe,kehe,569813430019,distributor,100,True,Migrated from CSV
kehe,kehe,569813430055,distributor,100,True,Migrated from CSV
kehe,kehe,569813430001,distributor,100,True,Migrated from CSV
kehe,kehe,569813430016,distributor,100,True,Migrated from CSV
kehe,kehe,569813430027,distributor,100,True,Migrated from CSV
kehe,kehe,569813430031,distributor,100,True,Migrated from CSV
kehe,kehe,569813430025,distributor,100,True,Migrated from CSV
kehe,kehe,569813430018,distributor,100,True,Migrated from CSV
kehe,kehe,569813430033,distributor,100,True,Migrated from CSV
kehe,kehe,569813430015,distributor,100,True,Migrated from CSV
kehe,kehe,569813430045,distributor,100,True,Migrated from CSV
