ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,156338400,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10006 TELEGRAPH,,,,,156338400,,,2025-09-19,2025-09-21,2025-09-21,,,,,,1.0,Imported from Whole Foods - File: 156338400.html,,,,0.0,13-025-2,PRESERVE STRAWBERRY,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156338400,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10006 TELEGRAPH,,,,,156338400,,,2025-09-19,2025-09-21,2025-09-21,,,,,,1.0,Imported from Whole Foods - File: 156338400.html,,,,0.0,13-025-5,MARMALADE ORANGE,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
